"","month","year","mention_1","mention_2","pullURL","flag","EntryTitle","google_news_keyword"
"1",2,2026,"sex-rejecting",,"news.diocesetucson.org","  ***","2 major medical groups back limits on gender transition procedures for minors","biological sex"
"2",2,2026,"gender mutilation",,"crenshaw.house.gov"," ","Congressman Crenshaw Introduces the Stop Gender Trafficking of Minors Act","transgender"
"3",2,2026,"sex-rejecting",,"exposedbycmd.org","  ***","HHS Has Been Using Anti-Trans Language From a Christian Right Think Tank","biological sex"
"4",2,2026,,"sex change","gbnews.com",,"Transgender migrant given sex change treatment on the NHS - without a right to remain in Britain","transgender"
"5",2,2026,"sex-rejecting",,"roughdraftatlanta.com","  ***","Expanded global gag rule to ban US foreign aid to groups that promote 'gender ideology'","transgenderism"
"6",1,2026,"sex-rejecting",,"wng.org","  ***","A victory for children - WORLD News Group","transgender"
"7",1,2026,,"sex change","kslnewsradio.com",,"Utah lawmakers to push for permanent ban on youth transgender treatments amid criticism ...","transgender"
"8",1,2026,,"sex change","ksl.com",,"Utah lawmakers to push for ban on youth transgender treatments amid criticism of state report","transgender"
"9",1,2026,"sex rejecting",,"healthpolicy-watch.news"," ","Latest US Restrictions On Aid 'Bully' Recipients To Accept 'Extremist Ideology'","gender ideology"
"10",12,2025,"sex-rejecting",,"presidentialprayerteam.org","  ***","House Passes Two Bills to Halt Transgender Interventions for Minors","transgender"
"11",12,2025,"sex-rejecting",,"californiaglobe.com","  ***","HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children","biological sex"
"12",12,2025,,"sex change","hengaw.net",,"Hengaw special report on widespread human rights violations in Iran, 2025","gender identity"
"13",12,2025,"sex-rejecting",,"hhs.gov","  ***","HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children","biological sex"
"14",12,2025,"sex-rejecting",,"theguardian.com","  ***","The Trump administration is trying to legislate trans people out of existence - The Guardian","transgender"
"15",12,2025,,"sex change","catholicworldreport.com",,"Pope Leo XIV sends 3 truckloads of humanitarian aid to Ukraine - Catholic World Report","gender ideology"
"16",12,2025,"sex-rejecting",,"jdsupra.com","  ***","CMS Seeks to Ban Hospitals from Providing Gender-Affirming Care to Minors | JD Supra","gender ideology"
"17",12,2025,,"sex change","facebook.com",,"Sky News host Chris Kenny highlights a “staggering story” around insurance and gender ...","gender ideology"
"18",12,2025,,"sex change","donoharmmedicine.org",,"Florida AG Sues Medical Activist Groups for Pushing Transgender Care on Minors","gender ideology"
"19",12,2025,"sex-rejecting",,"catholicnewsagency.com","  ***","HHS announces actions to restrict 'sex-rejecting procedures' on minors","gender ideology"
"20",12,2025,,"sex change","cbs19news.com",,"Long overdue': Praise for HHS' action to bar taxpayer-funded sex-change procedures","gender ideology"
"21",12,2025,"sex-rejecting",,"dailyfly.com","  ***","HHS' action to bar taxpayer-funded sex-change procedures - Dailyfly News","gender ideology"
"22",12,2025,"sex-rejecting",,"jdsupra.com","  ***","CMS Attempts to Use Medicare and Medicaid Conditions of Participation to Ban Hospitals ...","gender ideology"
"23",12,2025,,"sex change","ifamnews.com",,"Oklahoma University teaching assistant fired after failing student's religious essay - IFN","transgenderism"
"24",11,2025,"sex-rejecting",,"hhs.gov","  ***","HHS Releases Peer-Reviewed Report Discrediting Pediatric Sex-Rejecting Procedures","biological sex"
"25",11,2025,"sex-rejecting",,"washingtonpost.com","  ***","Experts critical of youth gender care wrote HHS study blasting it - The Washington Post","transgender"
"26",11,2025,"sex-rejecting",,"1819news.com","  ***","Jennifer Oliver O'Connell: Two fathers deal with gender transition in strikingly different ways","biological sex"
"27",11,2025,,"sex change","dailymail.co.uk",,"Trans lady of the manor drops legal case against NHS - Daily Mail","transgender"
"28",11,2025,,"sex change","msn.com",,"Why Alesha Dixon's still living with her ex - MSN","transgender"
"29",11,2025,,"sex change","msn.com",,"Bing Crosby's iconic Bay Area estate is on the market for $40 million - MSN","transgender"
"30",11,2025,,"sex change","facebook.com",,"Northwestern agreed to pay $75 million to the federal government in a deal reached on ... - Facebook","gender ideology"
"31",11,2025,,"sex change","christianpost.com",,"Catholic group demands USCCB stop funding LGBT groups pushing abortion, trans surgeries","transgenderism"
"32",10,2025,,"sex change","azcapitoltimes.com",,"Arizona judge orders state to issue amended birth certificates for transgender individuals","transgender"
"33",10,2025,,"sex change","yourvalley.net",,"Arizona must offer amended birth certificates to all transgender people, court rules","transgender"
"34",10,2025,,"sex change","havasunews.com",,"Transgender persons born in AZ entitled to amend birth certificate without sex change","transgender"
"35",9,2025,,"sex change","courier-journal.com",,"Who will replace Mitch McConnell in Senate? What to know about 2026 candidates","biological sex"
"36",9,2025,,"sex change","freebeacon.com",,"Harris Has No Regrets About Standing Up for Transgender Inmates - Free Beacon","transgender"
"37",9,2025,,"sex change","13wmaz.com",,"Georgia appeals court rules denying sex change coverage not sex discrimination - 13WMAZ","biological sex"
"38",9,2025,,"sex change","13wmaz.com",,"Court rules GA County did not discriminate in denying coverage for transgender deputy's surgery","transgender"
"39",9,2025,,"sex change","nationalreview.com",,"En Banc Eleventh Circuit: Title VII Does Not Require Insurance Plans to Cover 'Sex Change Surgery'","biological sex"
"40",9,2025,,"sex change","usnews.com",,"Court Rules Georgia County Didn't Discriminate by Denying Coverage of Gender-Affirming Surgery","biological sex"
"41",9,2025,,"sex change","wabe.org",,"Court rules Georgia county didn't discriminate by denying coverage of gender-affirming surgery","biological sex"
"42",9,2025,,"sex change","flaglerlive.com",,"Appeals Court Ruling Against Transgender Deputy May Buttress Florida's Restrictions on ...","biological sex"
"43",9,2025,,"sex change","hrdive.com",,"Appeals court rules that Georgia county can exclude gender-affirming surgeries from ... - HR Dive","biological sex"
"44",9,2025,,"sex change","bostonglobe.com",,"Court rules Georgia county didn't discriminate by denying coverage of gender-affirming surgery","biological sex"
"45",9,2025,,"sex change","christianindex.org",,"Court rules Georgia county didn't discriminate by denying coverage of gender-transitioning surgery","biological sex"
"46",9,2025,,"sex change","washingtontimes.com",,"Court rules Georgia county didn't discriminate by denying coverage of gender-affirming surgery","biological sex"
"47",9,2025,,"sex change","georgiarecorder.com",,"Georgia transgender sheriff's deputy seeking coverage for care dealt a setback after earlier win","biological sex"
"48",9,2025,,"sex change","macon.com",,"Court rules Houston County, sheriff didn't discriminate against transgender deputy","biological sex"
"49",9,2025,,"sex change","ajc.com",,"Georgia transgender rights ruling a step back for 'human dignity'","biological sex"
"50",9,2025,,"sex change","yahoo.com",,"Court rules Georgia county didn't discriminate by denying coverage of gender-affirming surgery","biological sex"
"51",9,2025,,"sex change","justthenews.com",,"Charlie Kirk gave detransitioners visibility. Proposed medical codes would carry on his work.","biological sex"
"52",9,2025,,"sex change","ogletree.com",,"Eleventh Circuit Says Health Plan's Gender-Affirming Surgery Exclusion Not Discriminatory ...","biological sex"
"53",9,2025,,"sex change","wtop.com",,"Court rules Georgia county didn't discriminate by denying coverage of gender-affirming surgery","biological sex"
"54",9,2025,,"sex change","ogletree.com",,"Eleventh Circuit Says Health Plan's Gender-Affirming Surgery Exclusion Not Discriminatory ...","biological sex"
"55",9,2025,,"sex change","thehill.com",,"Judge blocks DOJ subpoena in Boston gender-affirming care investigation - The Hill","gender ideology"
"56",8,2025,,"sex change","plainsman.com",,"Letter - Busch 8-1-25 - The Daily Plainsman","gender identity"
"57",8,2025,,"sex change","hotair.com",,"Democrats Become Schizophrenic on Gender Ideology - HotAir","transgenderism"
"58",8,2025,,"sex change","realclearpolitics.com",,"Good News: Child Gender Clinics Are Finally Shutting Down | RealClearPolitics","gender ideology"
"59",8,2025,,"sex change","donoharmmedicine.org",,"Good News: Child Gender Clinics Are Finally Shutting Down - Do No Harm","gender ideology"
"60",8,2025,,"sex change","donoharmmedicine.org",,"Trump Admin to Block Medicare and Medicaid Funding to Hospitals Performing Child Sex Changes","gender ideology"
"61",7,2025,,"sex change","skyhinews.com",,"Book review: Gender changing in Trinidad | SkyHiNews.com","gender identity"
"62",7,2025,,"sex change","bignewsnetwork.com",,"US territory bans trans surgery for minors - Big News Network.com","gender ideology"
"63",7,2025,"gender mutilation",,"dailycitizen.focusonthefamily.com"," ","The Fighting Christian is Not a Contradiction - Daily Citizen","gender ideology"
"64",7,2025,,"sex change","amac.us",,"Democrats Become Schizophrenic on Gender Ideology - AMAC","transgenderism"
"65",6,2025,,"sex change","geneticliteracyproject.org",,"Viewpoint: With science and medicine under assault, more people turn to search and social ...","biological sex"
"66",6,2025,"trait modification",,"mychesco.com"," ","HHS Launches Investigation into Michigan Health System Over Conscience Rights Violations","biological sex"
"67",6,2025,,"sex change","yahoo.com",,"How Hungary's LGBTQ+ violations have put the EU under scrutiny - Yahoo","gender identity"
"68",6,2025,,"sex change","washingtontimes.com",,"New evidence on the dangers of child sex changes - Washington Times","transgenderism"
"69",6,2025,,"sex change","thefederalist.com",,"Taxpayer-Funded Libraries Promote These Graphic Books To Kids For Pride Month","transgenderism"
"70",5,2025,,"sex change","iol.co.za",,"Gender-bending fender bender in court - IOL","gender confusion"
"71",5,2025,,"sex change","stream.org",,"Transgenderism' Is Child Abuse - The Stream","transgenderism"
"72",4,2025,,"sex change","christiandaily.com",,"Ecuador's President Daniel Noboa reelected amid political tensions, promises to protect ...","gender ideology"
"73",3,2025,,"sex change","catholicnewsagency.com",,"In joint session address, Trump urges Congress to continue fight against gender ideology","gender ideology"
"74",3,2025,,"sex change","mrctv.org",,"Even Oxford Journal Admits Sexually Mutilating People Harms Their Mental Health","transgenderism"
"75",3,2025,,"sex change","evangelicalfocus.com",,"President of Ecuador signs document in defence of minors - Evangelical Focus","gender ideology"
"76",2,2025,,"sex change","heartlandernews.com",,"Battle over sex changes for children, chemical abortions heats up in Colorado Legislature","gender identity"
"77",2,2025,,"sex change","bizpacreview.com",,"Slugga: NSA's secret pervert chats underscore the need for DOGE - BizPac Review","transgenderism"
"78",1,2025,,"sex change","mikejohnson.house.gov",,"U.S. House of Representatives Successfully Protects Tax Dollars from Funding Gender ...","gender ideology"
"79",12,2024,,"sex change","denvergazette.com",,"Beshear rejects state funding sex change operations for transgender inmates | U.S. & World","transgender"
"80",12,2024,,"sex change","dailycaller.com",,"Daily Caller Documentary Exposes Dangers Of Online Grooming And The Creeps Who ...","transgenderism"
"81",11,2024,,"sex change","cincinnati.com",,"Conservative group targets Cincinnati Children's over transgender clinic","transgender"
"82",11,2024,,"sex change","wenatcheeworld.com",,"Safety Valve | Reject Harris/Walz over transgender policy - The Wenatchee World","transgender"
"83",11,2024,,"sex change","timesofindia.indiatimes.com",,"These sources have no idea': GOP spokesperson rejects reports of Trump transgender military ban","biological sex"
"84",11,2024,,"sex change","coastcommunitynews.com.au",,"New bill normalises sexualisation of society - Central Coast Community News","gender ideology"
"85",11,2024,,"sex change","catholicvote.org",,"Bishop Barron identifies gender ideology as an attack on marriage at USCCB assembly","gender ideology"
"86",11,2024,,"sex change","dailywire.com",,"EXCLUSIVE: Philly Kids Hospital 'Leading The Nation' In Sex Changes - The Daily Wire","gender ideology"
"87",11,2024,,"sex change","tnc.news",,"Libraries brand books critical of child gender transitions as “transphobic” literature","gender ideology"
"88",10,2024,,"sex change","publicnewsservice.org",,"NM GOP candidates amplify Trump's debunked transgender surgery claims - Public News Service","transgender"
"89",10,2024,,"sex change","catholicnewsagency.com",,"Trump attacks Harris on her support of tax-funded transgender surgeries for prisoners","transgender"
"90",10,2024,,"sex change","freebeacon.com",,"Transgender 'Yacht Killer' Serving Life Sentence Gets Taxpayer-Funded Sex-Change ...","transgender"
"91",10,2024,,"sex change","nypost.com",,"Yacht Killer' inmate got taxpayer-funded sex-change with Kamala Harris' blessing: report","transgender"
"92",10,2024,,"sex change","ksmu.org",,"Legal experts dismiss attempt to link Missouri abortion amendment to transgender health care","transgender"
"93",10,2024,,"sex change","msn.com",,"Trump administration 'signed off' on sex-change surgeries for transgender prisoners - MSN","transgender"
"94",10,2024,"gender mutilation",,"tampafp.com"," ","CBS, Paramount Reject Ad Exposing Dangers Of Sex Change Surgeries For Minors","transgenderism"
"95",10,2024,,"sex change","ifamnews.com",,"Wokeness is erasing women - IFN","gender ideology"
"96",10,2024,"gender mutilation",,"patriotpost.us"," ","Emmy Griffin: Contra the Left, Child Mutilation Surgeries Are Happening | The Patriot Post","gender confusion"
"97",10,2024,,"sex change","amgreatness.com",,"Poll: Majority Favors Federal Ban on Transgender Surgeries for Minors","transgenderism"
"98",10,2024,,"sex change","catholicnewsagency.com",,"Thousands of Colombians protest government's embrace of gender ideology","gender ideology"
"99",9,2024,,"sex change","theohiostar.com",,"Tag: transgender therapy for minors - The Ohio Star","transgender"
"100",9,2024,,"sex change","desmoinesregister.com",,"I'm a Minnesota native. Kim Reynolds values beat Tim Walz extremism.","gender identity"
"101",9,2024,,"sex change","dailymail.co.uk",,"How Kamala Harris wanted to cut funding for ICE and provide financial support for ... - Daily Mail","transgender"
"102",9,2024,,"sex change","gript.ie",,"Can Norma Foley please stop the spin on the ""enormous"" SPHE consultation? - Gript","gender confusion"
"103",9,2024,,"sex change","lgbtqnation.com",,"J.D. Vance claims trans ally Tim Walz wants government to ""steal your children""","gender ideology"
"104",8,2024,,"sex change","ajc.com",,"Landmark transgender rights ruling voided by Atlanta-based federal appeals court","gender identity"
"105",8,2024,,"sex change","thepostmillennial.com",,"WA state children's hospital pulls back on child sex changes, opts for 'holistic approach': memo","gender confusion"
"106",8,2024,,"sex change","mediamatters.org",,"Michael Knowles says that Tim Walz was on a ""jihad as governor of Minnesota to trans the kids""","transgenderism"
"107",7,2024,,"sex change","unilad.com",,"Man went to court to try and change his age to 20 years younger after being 'discriminated ...","transgender"
"108",7,2024,,"sex change","thepostmillennial.com",,"House 'Anti-Woke Caucus' demands Biden-Harris admin reveal true stance on child sex changes","biological sex"
"109",7,2024,,"sex change","catholicweekly.com.au",,"The church and gender reassignment - The Catholic Weekly","gender ideology"
"110",7,2024,,"sex change","dailywire.com",,"Autism Advocacy Group Pushes Child Sex Changes, Condemns Laws That Protect Children","gender ideology"
"111",7,2024,,"sex change","breitbart.com",,"Report: Family Sues to Regain Custody of Autistic Son from Transgenderism Activists","transgenderism"
"112",6,2024,,"sex change","dailywire.com",,"Biden Admin Backtracks, Says It Does Not Support Transgender Surgeries For Minors","transgender"
"113",6,2024,,"sex change","dailycaller.com",,"WILL WADE: Teach Your Children How To Change A Tire, Shoot A Gun And Treat Everyone ...","biological sex"
"114",6,2024,,"sex change","americamagazine.org",,"Made in God's image and likeness': An introduction to disability theology","gender ideology"
"115",6,2024,,"sex change","lpm.org",,"Ask me what I actually believe': Transgender Kentucky monk speaks out about misconceptions","gender ideology"
"116",6,2024,,"sex change","gilmermirror.com",,"I Remember When Democrats Loved America - The Gilmer Mirror","gender confusion"
"117",5,2024,,"sex change","dailygoodmorningkashmir.com",,"Protecting societies from infiltration of perversion of neoliberals - Daily Good Morning Kashmir","gender identity"
"118",5,2024,,"sex change","cathnews.com",,"Protester interrupts Archbishop Fisher during transgender inquiry - CathNews","transgender"
"119",5,2024,,"sex change","jurist.org",,"Thousands gather in France streets to protest anti-transgender Senate report - Jurist.org","gender identity"
"120",5,2024,"sex-rejecting",,"wng.org","  ***","Giving evil a pleasant label | WORLD - WNG.org","biological sex"
"121",5,2024,,"sex change","msn.com",,"Wisconsin Democrat Governor Vetoes Bill Outlawing Child Sex Changes - MSN","gender ideology"
"122",5,2024,,"sex change","catholicvote.org",,"Kentucky diocese uses male pronouns for biological female in statement on 'transgender' hermit","gender ideology"
"123",4,2024,,"sex change","aljazeera.com",,"Iraq criminalises same-sex relationships with maximum 15 years in prison - Al Jazeera","transgender"
"124",4,2024,,"sex change","johnmenadue.com",,"Pope Francis has abandoned transgender Catholics - Pearls and Irritations","transgender"
"125",4,2024,,"sex change","ncronline.org",,"Catholic students, theologians, ministers write an open letter to Pope Francis","gender ideology"
"126",4,2024,,"sex change","romereports.com",,"Rome without a vicar general: the post will be vacant until the Pope makes his choice","gender ideology"
"127",4,2024,,"sex change","nationalreview.com",,"Stubborn Truth about Gender Ideology, According to Vatican | National Review","gender ideology"
"128",4,2024,,"sex change","icatholic.org",,"US Catholic pastoral leaders welcome Vatican document on human dignity","gender ideology"
"129",4,2024,,"sex change","thetrumpet.com",,"Report Exposes Danger in Transgender 'Treatment' - theTrumpet.com","transgenderism"
"130",4,2024,,"sex change","youtube.com",,"Pope Francis warns against considering one's existence as a burden to others - YouTube","gender ideology"
"131",4,2024,,"sex change","romereports.com",,"European bishops concerned after EU votes yes to include abortion as fundamental right","gender ideology"
"132",4,2024,,"sex change","americamagazine.org",,"Roundtable: What the Vatican said about gender theory in 'Dignitas Infinita'","gender ideology"
"133",4,2024,,"sex change","romereports.com",,"Doubts arise after EU signs migration pact: “It is not going to improve it to a great extent”","gender ideology"
"134",4,2024,,"sex change","romereports.com",,"Pope Francis recovers the title “Patriarch of the West” as an ecumenical gesture","gender ideology"
"135",4,2024,,"sex change","opusdei.org",,"Could do better: human dignity, what it is and how we could respect it more - Opus Dei","gender ideology"
"136",3,2024,,"sex change","foxnews.com",,"Idaho moves to ban use of public funds for transgender surgeries and hormone therapy","transgender"
"137",2,2024,,"sex change","dailycaller.com",,"Parental Nightmare': Blue States Are Becoming Magnets For Runaway Kids Seeking Trans ...","transgender"
"138",1,2024,,"sex change","dailymail.co.uk",,"Doctor is suspended for refusing to use transgender patient's preferred pronouns - Daily Mail","transgender"
"139",1,2024,,"sex change","bizpacreview.com",,"Best political cartoons: Biden wants screen doors installed on US submarines","gender ideology"
"140",1,2024,"gender mutilation",,"dailycitizen.focusonthefamily.com"," ","Ohio Senate Overrides Veto – Protects Children and Women's Sports - Daily Citizen","gender ideology"
"141",1,2024,"gender mutilation",,"mrctv.org"," ","Ohio Bans Transgender Surgeries for Minors, Protects Women's Sports - MRCTV","gender ideology"
"142",1,2024,"gender mutilation",,"washingtontimes.com"," ","Ohio bans gender transitions for minors, restricts transgender athletes with veto override","gender ideology"
"143",1,2024,"gender mutilation",,"theohiostar.com"," ","Activists, Lawmakers Applaud Ohio Senate's Veto Override of House Bill 68","gender ideology"
"144",1,2024,"gender mutilation",,"washingtonstand.com"," ","Ohio Becomes 23rd State to Protect Minors from the Transgender Industry","gender ideology"
"145",12,2023,,"sex change","americanwirenews.com",,"Detransitioner Chloe Cole rips Gov. Devine for being 'complicit' with 'mutilation of thousands ...","biological sex"
"146",12,2023,,"sex change","foxnews.com",,"Detransitioner breaks down describing shocking complication from double mastectomy","gender identity"
"147",12,2023,,"sex change","foxnews.com",,"Tomboy who regretted gender transition breaks down crying describing the difficulty of ... - Fox News","gender identity"
"148",12,2023,,"sex change","foxnews.com",,"Conservatives blast Republican Ohio governor as 'coward' for transgender bill veto","transgender"
"149",12,2023,,"sex change","bizpacreview.com",,"Detransitioner Chloe Cole rips Gov. Devine for being 'complicit' with 'mutilation of thousands ...","biological sex"
"150",12,2023,,"sex change","c-fam.org",,"Countries Praise Russia's Pro-Family Policies at Human Rights Forum - C-Fam","gender identity"
