"the_day","month","year","keyword","EntryTitle","pullURL","subname","post_ID","EntryURL"
"2026-01-22",1,2026,"gender identity","Democrats and the Siren Call of Culture Denialism - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","democrats and the siren call of culture","https://www.liberalpatriot.com/p/democrats-and-the-siren-call-of-culture"
"2026-01-22",1,2026,"biological sex","Democrats and the Siren Call of Culture Denialism - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","democrats and the siren call of culture","https://www.liberalpatriot.com/p/democrats-and-the-siren-call-of-culture?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2026-01-22",1,2026,"transgender","Trans Girl Scouts On Cookie List Sell 71,000 Cookies And Growing - Erin In The Morning","erininthemorning.com","erininthemorning.com","trans girl scouts on cookie list","https://www.erininthemorning.com/p/trans-girl-scouts-on-cookie-list"
"2026-01-26",1,2026,"gender identity","The Limits of Resistance Liberalism - by Justin Vassallo","liberalpatriot.com","liberalpatriot.com","the limits of resistance liberalism","https://www.liberalpatriot.com/p/the-limits-of-resistance-liberalism?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2026-01-26",1,2026,"transgender","Trump Pressures International Orgs To Disavow Trans Care, Social Transition Globally ""At ...","erininthemorning.com","erininthemorning.com","trump pressures international orgs","https://www.erininthemorning.com/p/trump-pressures-international-orgs"
"2026-01-27",1,2026,"gender identity","I Was Fired by New York's Attorney General for Opposing 'Gender-Affirming Care'","thefp.com","thefp.com","i was fired by new yorks attorney gender affirming care","https://www.thefp.com/p/i-was-fired-by-new-yorks-attorney-gender-affirming-care"
"2026-01-28",1,2026,"transgender","Kansas Advancing Anti-Trans Bill Allowing Bounty Hunters To Patrol Private Business Bathrooms","erininthemorning.com","erininthemorning.com","kansas advancing anti trans bill","https://www.erininthemorning.com/p/kansas-advancing-anti-trans-bill"
"2026-01-29",1,2026,"biological sex","Seven Principles for a 21st Century Left - by Ruy Teixeira - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","seven principles for a 21st century","https://www.liberalpatriot.com/p/seven-principles-for-a-21st-century"
"2026-01-30",1,2026,"transgender","Fox News Poll: Americans Prefer Democrats On Transgender Issues +22 Points","erininthemorning.com","erininthemorning.com","fox news poll americans prefer democrats","https://www.erininthemorning.com/p/fox-news-poll-americans-prefer-democrats"
"2026-02-01",2,2026,"transgender","The Lavender Ledger: Your Strategic LGBTQ+ Reader By Erin In The Morning","erininthemorning.com","erininthemorning.com","the lavender ledger your strategic 39d","https://www.erininthemorning.com/p/the-lavender-ledger-your-strategic-39d"
"2026-02-01",2,2026,"gender identity","Former State Senator Michael McCaffrey will become a District Court Judge, and you can't stop it","steveahlquist.substack.com","steveahlquist","former state senator michael mccaffrey","https://steveahlquist.substack.com/p/former-state-senator-michael-mccaffrey"
"2026-02-01",2,2026,"gender identity","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2026-02-01",2,2026,"transgender","I Report for The Free Press: ""A Legal First That Could Change Gender Medicine""","benryan.substack.com","benryan","i report for the free press a legal","https://benryan.substack.com/p/i-report-for-the-free-press-a-legal?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2026-02-02",2,2026,"gender identity","A Legal First That Could Change Gender Medicine - The Free Press","thefp.com","thefp.com","a legal first that could change gender","https://www.thefp.com/p/a-legal-first-that-could-change-gender"
"2026-02-02",2,2026,"gender identity","Black Trans Trailblazers That You May Not Learn About in History Class","erininthemorning.com","erininthemorning.com","black trans trailblazers that you","https://www.erininthemorning.com/p/black-trans-trailblazers-that-you"
"2026-01-14",1,2026,"biological sex","SCOTUS Plunges Back Into the Culture Wars - Wake Up To Politics","wakeuptopolitics.com","wakeuptopolitics.com","scotus plunges back into the culture","https://www.wakeuptopolitics.com/p/scotus-plunges-back-into-the-culture"
"2026-01-17",1,2026,"biological sex","For Better or Worse? Is Nostalgia for the 1970s Really Justified? - Byline Supplement","bylinesupplement.com","bylinesupplement.com","for better or worse is nostalgia","https://www.bylinesupplement.com/p/for-better-or-worse-is-nostalgia"
"2026-01-17",1,2026,"gender identity","Messy Conversations: When Loved Ones Leave the Faith - Substack","substack.com","substack.com","184043212","https://substack.com/home/post/p-184043212?source=queue"
"2026-01-17",1,2026,"gender identity","Follow the Money: Venezuelan Oil, Qatar, and Trump's Accountability Crisis","mitchthelawyer.substack.com","mitchthelawyer","follow the money venezuelan oil qatar","https://mitchthelawyer.substack.com/p/follow-the-money-venezuelan-oil-qatar"
"2026-01-18",1,2026,"gender identity","On banning Plato - Ruby's Studio","substack.com","substack.com","184758658","https://substack.com/home/post/p-184758658?source=queue"
"2026-01-19",1,2026,"gender identity","Judge Kacsmaryk Compares Drag To Blackface, Allows College Campus Drag Ban In Texas","erininthemorning.com","erininthemorning.com","judge kacsmaryk compares drag to","https://www.erininthemorning.com/p/judge-kacsmaryk-compares-drag-to"
"2026-01-19",1,2026,"transgender","Judicial Notice (01.19.26): Minnesota (Not So) Nice","davidlat.substack.com","davidlat","judicial notice 011926 minnesota","https://davidlat.substack.com/p/judicial-notice-011926-minnesota"
"2026-01-19",1,2026,"biological sex","The Case That Forces a Definition of Sex - The Newsroom - Substack","substack.com","substack.com","185123627","https://substack.com/home/post/p-185123627?source=queue"
"2026-01-20",1,2026,"biological sex","Dept. of Education Attacks Middle School For Supposedly Letting Trans Student Onto Co-Ed ...","erininthemorning.com","erininthemorning.com","dept of education attacks middle","https://www.erininthemorning.com/p/dept-of-education-attacks-middle"
"2026-01-20",1,2026,"transgender","Democrats Successfully Strip All Anti-Trans Riders From Final Appropriations Bills","erininthemorning.com","erininthemorning.com","democrats successfully strip all","https://www.erininthemorning.com/p/democrats-successfully-strip-all"
"2026-01-21",1,2026,"biological sex","Strategic Plan to Shape Pembroke Schools Through 2031 - South Shore News","southshore.news","southshore.news","strategic plan to shape pembroke","https://www.southshore.news/p/strategic-plan-to-shape-pembroke"
"2026-01-21",1,2026,"biological sex","Is The Trump Administration Attempting A Backdoor Gun Ban For Trans Americans?","erininthemorning.com","erininthemorning.com","is the trump administration attempting","https://www.erininthemorning.com/p/is-the-trump-administration-attempting"
"2026-01-21",1,2026,"gender identity","Is The Trump Administration Attempting A Backdoor Gun Ban For Trans Americans?","erininthemorning.com","erininthemorning.com","is the trump administration attempting","https://www.erininthemorning.com/p/is-the-trump-administration-attempting"
"2026-01-21",1,2026,"gender identity","Non-Binary Marathon Divisions Are Pointless","persuasion.community","persuasion.community","non binary marathon divisions are","https://www.persuasion.community/p/non-binary-marathon-divisions-are"
"2026-01-21",1,2026,"gender identity","Non-Binary Marathon Divisions Are Pointless","persuasion.community","persuasion.community","non binary marathon divisions are","https://www.persuasion.community/p/non-binary-marathon-divisions-are?source=queue"
"2026-01-22",1,2026,"gender identity","Democrats and the Siren Call of Culture Denialism - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","democrats and the siren call of culture","https://www.liberalpatriot.com/p/democrats-and-the-siren-call-of-culture"
"2026-01-21",1,2026,"transgender","Is The Trump Administration Attempting A Backdoor Gun Ban For Trans Americans?","erininthemorning.com","erininthemorning.com","is the trump administration attempting","https://www.erininthemorning.com/p/is-the-trump-administration-attempting"
"2026-01-22",1,2026,"biological sex","Democrats and the Siren Call of Culture Denialism - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","democrats and the siren call of culture","https://www.liberalpatriot.com/p/democrats-and-the-siren-call-of-culture"
"2026-01-22",1,2026,"transgender","Trans Girl Scouts On Cookie List Sell 71,000 Cookies And Growing - Erin In The Morning","erininthemorning.com","erininthemorning.com","trans girl scouts on cookie list","https://www.erininthemorning.com/p/trans-girl-scouts-on-cookie-list"
"2026-01-22",1,2026,"transgender","For the Sake of The Nation and Humanity, His Supporters Must Be Shunned","johnpavlovitz.substack.com","johnpavlovitz","for the sake of the nation and humanity","https://johnpavlovitz.substack.com/p/for-the-sake-of-the-nation-and-humanity?utm_campaign=post&utm_medium=email&triedRedirect=true"
"2026-01-26",1,2026,"gender identity","The Limits of Resistance Liberalism - by Justin Vassallo","liberalpatriot.com","liberalpatriot.com","the limits of resistance liberalism","https://www.liberalpatriot.com/p/the-limits-of-resistance-liberalism?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2026-01-26",1,2026,"transgender","Trump Pressures International Orgs To Disavow Trans Care, Social Transition Globally ""At ...","erininthemorning.com","erininthemorning.com","trump pressures international orgs","https://www.erininthemorning.com/p/trump-pressures-international-orgs"
"2023-01-30",1,2023,"gender identity","Dark and Nasty Republicans Propose Drag Brunch (and Maybe Gay Pride) Bans in Several States","thebulwark.com","thebulwark.com",".com/dark-and-nasty-republicans-propose-drag-brunch-and-maybe-gay-pride-bans-in-several-states","https://www.thebulwark.com/dark-and-nasty-republicans-propose-drag-brunch-and-maybe-gay-pride-bans-in-several-states/"
"2023-01-28",1,2023,"transgender","Sturgeon's future on the line along with her trans agenda - Reaction.Life","reaction.life","reaction.life",NA,"https://reaction.life/sturgeons-future-on-the-line-along-with-her-trans-agenda/"
"2025-02-01",2,2025,"biological sex","From Pray-the-Gay-Away to Pansexual Pragmatism - Substack","substack.com","substack.com","155863228","https://substack.com/home/post/p-155863228?utm_campaign=post&utm_medium=web"
"2025-02-02",2,2025,"biological sex","Comments - The Week in Abortion - by Jessica Valenti","jessica.substack.com","jessica","the week in abortion 960","https://jessica.substack.com/p/the-week-in-abortion-960/comments"
"2025-02-02",2,2025,"gender identity","Implementing the Executive Order on Sex and Gender - Substack","substack.com","substack.com","156301249","https://substack.com/home/post/p-156301249?utm_campaign=post&utm_medium=web"
"2025-02-02",2,2025,"biological sex","Implementing the Executive Order on Sex and Gender - Substack","substack.com","substack.com","156301249","https://substack.com/home/post/p-156301249?utm_campaign=post&utm_medium=web"
"2025-02-02",2,2025,"biological sex","Project 2025's presidential influence is already taking hold - Substack","substack.com","substack.com","156323757","https://substack.com/home/post/p-156323757?utm_campaign=post&utm_medium=web"
"2025-02-03",2,2025,"biological sex","Biological Reality vs. Gender Ideology - Substack","substack.com","substack.com","153865842","https://substack.com/home/post/p-153865842?utm_campaign=post&utm_medium=web"
"2025-02-04",2,2025,"biological sex","We Are All Human Together - by Bodhiterra - Visible Woman - Substack","substack.com","substack.com","156418316","https://substack.com/home/post/p-156418316?utm_campaign=post&utm_medium=web"
"2025-02-04",2,2025,"biological sex","Talking to myself and feeling old - by Josh Slocum - Substack","substack.com","substack.com","156465885","https://substack.com/home/post/p-156465885?utm_campaign=post&utm_medium=web"
"2025-02-05",2,2025,"biological sex","There's No Substitute For Public Opinion - Comments","persuasion.community","persuasion.community","theres no substitute for public opinion","https://www.persuasion.community/p/theres-no-substitute-for-public-opinion/comments"
"2025-02-07",2,2025,"transgender","Trump's war on woke will not help women - by Jenny Hjul - Reaction","reaction.life","reaction.life","trumps war on woke will not help","https://www.reaction.life/p/trumps-war-on-woke-will-not-help"
"2025-02-07",2,2025,"biological sex","Trump's war on woke will not help women - by Jenny Hjul - Reaction","reaction.life","reaction.life","trumps war on woke will not help","https://www.reaction.life/p/trumps-war-on-woke-will-not-help"
"2025-02-08",2,2025,"gender identity","The Dark Side of Gender Affirmation: Tearing families apart - Substack","substack.com","substack.com","156678956","https://substack.com/home/post/p-156678956?utm_campaign=post&utm_medium=web"
"2025-02-08",2,2025,"biological sex","Medieval gender studies is getting this wrong. - Substack","substack.com","substack.com","155684745","https://substack.com/home/post/p-155684745?utm_campaign=post&utm_medium=web"
"2025-02-09",2,2025,"biological sex","The Androgyny Syndrome - by Graham Cunningham - Substack","substack.com","substack.com","156733930","https://substack.com/home/post/p-156733930?utm_campaign=post&utm_medium=web"
"2025-02-10",2,2025,"gender identity","The NSA's ""Big Delete"" - by Judd Legum and Rebecca Crosby - Popular Information","popular.info","popular.info","the nsas big delete","https://popular.info/p/the-nsas-big-delete"
"2025-02-15",2,2025,"biological sex","Understanding Biology ≠ Biological Essentialism - Substack","substack.com","substack.com","157195493","https://substack.com/home/post/p-157195493?utm_campaign=post&utm_medium=web"
"2025-02-16",2,2025,"gender identity","Home | Substack","substack.com","substack.com","157215244","https://substack.com/home/post/p-157215244"
"2025-02-16",2,2025,"gender identity","The Unraveling of the New York Times - by Kara Dansky - Substack","substack.com","substack.com","157256256","https://substack.com/home/post/p-157256256?utm_campaign=post&utm_medium=web"
"2025-02-16",2,2025,"biological sex","The Unraveling of the New York Times - by Kara Dansky - Substack","substack.com","substack.com","157256256","https://substack.com/home/post/p-157256256?utm_campaign=post&utm_medium=web"
"2025-02-16",2,2025,"biological sex","Man pretending to be a woman accused me of ""catfishing."" - Substack","substack.com","substack.com","157277411","https://substack.com/home/post/p-157277411?utm_campaign=post&utm_medium=web"
"2025-02-17",2,2025,"biological sex","How Psychology's Ideological Shift Harms Gender-Confused Children - Substack","substack.com","substack.com","156129016","https://substack.com/home/post/p-156129016?utm_campaign=post&utm_medium=web"
"2025-02-17",2,2025,"gender identity","Trans Identity - by Ozy Brennan - Thing of Things - Substack","substack.com","substack.com","157029292","https://substack.com/home/post/p-157029292?utm_campaign=post&utm_medium=web"
"2025-02-18",2,2025,"biological sex","You Created a New Pandora's Box. - Substack","substack.com","substack.com","157404392","https://substack.com/home/post/p-157404392?utm_campaign=post&utm_medium=web"
"2025-02-19",2,2025,"biological sex","Dawkins on the Male Female divide - The reviewer's Substack","substack.com","substack.com","157417775","https://substack.com/home/post/p-157417775?utm_campaign=post&utm_medium=web"
"2025-02-21",2,2025,"transgender","Female fury transcends Scotland's captured public sector - reaction","reaction.life","reaction.life","female fury transcends scotlands","https://www.reaction.life/p/female-fury-transcends-scotlands"
"2025-02-21",2,2025,"biological sex","Female fury transcends Scotland's captured public sector - reaction","reaction.life","reaction.life","female fury transcends scotlands","https://www.reaction.life/p/female-fury-transcends-scotlands"
"2025-02-22",2,2025,"gender identity","Opinion: Mom and pop psychology - Fredericton Independent - Substack","substack.com","substack.com","134219742","https://substack.com/home/post/p-134219742?utm_campaign=post&utm_medium=web"
"2023-02-18",2,2023,"transgender","Why natural SNP leader Joanna Cherry won't be picked - Reaction.Life","reaction.life","reaction.life",NA,"https://reaction.life/why-natural-snp-leader-joanna-cherry-wont-be-picked-snp-kate-forbes/"
"2025-02-26",2,2025,"biological sex","NH School Scoop - February 25, 2025 - by Bill Carozza - Substack","substack.com","substack.com","157910798","https://substack.com/home/post/p-157910798?utm_campaign=post&utm_medium=web"
"2025-02-26",2,2025,"biological sex","Why I Use Trans People's Preferred Pronouns - Substack","substack.com","substack.com","157937616","https://substack.com/home/post/p-157937616?utm_campaign=post&utm_medium=web"
"2025-02-26",2,2025,"biological sex","An Open Letter to Administrators of Institutionalized Dysphoria - Substack","substack.com","substack.com","157977500","https://substack.com/home/post/p-157977500?utm_campaign=post&utm_medium=web"
"2025-02-27",2,2025,"gender identity","How MAGA-Bros Reject Their Own Ancestral Myths in Their War on ""Wokeness"" - Substack","substack.com","substack.com","157685680","https://substack.com/home/post/p-157685680?utm_campaign=post&utm_medium=web"
"2025-02-28",2,2025,"biological sex","Sex, gender, and ""truth"" - by Allison Daminger - Substack","substack.com","substack.com","158042630","https://substack.com/home/post/p-158042630?utm_campaign=post&utm_medium=web"
"2025-02-28",2,2025,"transgender","Transgender Service Members Aren't the Problem - The Bulwark","thebulwark.com","thebulwark.com","transgender military trump ban","https://www.thebulwark.com/p/transgender-military-trump-ban"
"2025-03-02",3,2025,"biological sex","Are Gender Roles Inherently Incompatible with Modern Communism? - Substack","substack.com","substack.com","158176759","https://substack.com/home/post/p-158176759?utm_campaign=post&utm_medium=web"
"2025-03-02",3,2025,"biological sex","Weekly Roundup - by James L. Nuzzo - The Nuzzo Letter - Substack","substack.com","substack.com","158149057","https://substack.com/home/post/p-158149057?utm_campaign=post&utm_medium=web"
"2025-03-02",3,2025,"gender identity","They - by Ward Stern - Honest Teaching - Substack","substack.com","substack.com","157525367","https://substack.com/home/post/p-157525367?utm_campaign=post&utm_medium=web"
"2025-03-02",3,2025,"biological sex","“Dangerous” Trans-Identified Male Pedophile Under Investigation For Sexually Assaulting ...","substack.com","substack.com","158229997","https://substack.com/home/post/p-158229997?utm_campaign=post&utm_medium=web"
"2025-03-02",3,2025,"gender identity","DOGE Cuts $10.9M in NIH Grants—Here's What Was Defunded - Substack","substack.com","substack.com","158212430","https://substack.com/home/post/p-158212430?utm_campaign=post&utm_medium=web"
"2025-03-02",3,2025,"biological sex","Sylvia Rivera Warned Us: Gay Men Would Abandon Trans People—And She Was Right","substack.com","substack.com","158247094","https://substack.com/home/post/p-158247094?source=queue"
"2025-03-02",3,2025,"biological sex","The Week Ahead - Civil Discourse with Joyce Vance - Substack","joycevance.substack.com","joycevance","the week ahead cff","https://joycevance.substack.com/p/the-week-ahead-cff"
"2025-03-02",3,2025,"gender identity","DOGE Cuts $10.9M in NIH Grants—Here's What Was Defunded - Substack","substack.com","substack.com","158212430","https://substack.com/home/post/p-158212430?source=queue"
"2025-03-04",3,2025,"gender identity","Testimony Reveals Fraud in Washington Gender Clinics","substack.com","substack.com","158200955","https://substack.com/home/post/p-158200955?utm_campaign=post&utm_medium=web"
"2025-03-04",3,2025,"biological sex","Senate Rejects Transgender Sports Ban, Sparking Debate Over Fairness and Inclusion","substack.com","substack.com","158369770","https://substack.com/home/post/p-158369770?utm_campaign=post&utm_medium=web"
"2025-03-04",3,2025,"gender identity","Stand With Trans Americans - by Marc Solomon - The Bulwark","thebulwark.com","thebulwark.com","stand with trans americans donald trump executive orders discharging service members","https://www.thebulwark.com/p/stand-with-trans-americans-donald-trump-executive-orders-discharging-service-members?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2025-03-04",3,2025,"gender identity","So much for S.9 - by Kara Dansky - The TERF Report - Substack","substack.com","substack.com","158372936","https://substack.com/home/post/p-158372936?utm_campaign=post&utm_medium=web"
"2025-03-06",3,2025,"biological sex","Michigan Republicans Slam MHSAA in Fiery Press Conference: 'Follow Trump's Order or ...","substack.com","substack.com","158520401","https://substack.com/home/post/p-158520401?utm_campaign=post&utm_medium=web"
"2025-03-21",3,2025,"gender identity","The Rhode Island Interscholastic League obeys in advance and weakens protections for ...","steveahlquist.substack.com","steveahlquist","the rhode island interscholastic","https://steveahlquist.substack.com/p/the-rhode-island-interscholastic"
"2025-03-22",3,2025,"biological sex","Rhoden: New laws on bathroom use, obscene books protect South Dakota from 'woke' agenda","thedakotascout.com","thedakotascout.com","rhoden new laws on bathroom use obscene","https://www.thedakotascout.com/p/rhoden-new-laws-on-bathroom-use-obscene"
"2025-03-22",3,2025,"gender identity","Pope appoints 'critically loyal' theologian to ecclesiastical universities' oversight agency","pillarcatholic.com","pillarcatholic.com","pope appoints critically loyal theologian","https://www.pillarcatholic.com/p/pope-appoints-critically-loyal-theologian"
"2025-03-23",3,2025,"gender identity","Exploring the Intersection of Neurodivergence, Gender Identity and Menopause - Substack","substack.com","substack.com","153091717","https://substack.com/home/post/p-153091717?source=queue"
"2025-03-25",3,2025,"gender identity","Texas lawmakers advance bill that makes it a crime for teachers to assign ""Catcher in the Rye""","popular.info","popular.info","texas lawmakers advance bill that","https://popular.info/p/texas-lawmakers-advance-bill-that"
"2025-03-25",3,2025,"gender identity","The RI Interscholastic League refuses to answer basic questions about changes to its ...","steveahlquist.substack.com","steveahlquist","the ri interscholastic league refuses","https://steveahlquist.substack.com/p/the-ri-interscholastic-league-refuses?utm_source=substack&utm_medium=email&utm_content=share&action=share"
"2025-03-29",3,2025,"gender identity","Foster School District redefined ""sex"" in possible violation of state and federal law","steveahlquist.substack.com","steveahlquist","foster school district redefined","https://steveahlquist.substack.com/p/foster-school-district-redefined"
"2026-01-08",1,2026,"biological sex","The Future of the Left in the 21st Century (Part Three) - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","merit biology and patriotic realism","https://www.liberalpatriot.com/p/merit-biology-and-patriotic-realism"
"2026-01-08",1,2026,"gender identity","The Future of the Left in the 21st Century (Part Three) - The Liberal Patriot","liberalpatriot.com","liberalpatriot.com","merit biology and patriotic realism","https://www.liberalpatriot.com/p/merit-biology-and-patriotic-realism"
"2026-01-08",1,2026,"transgender","Over 400,000 Transgender People Have Moved States Since Trump's Election","erininthemorning.com","erininthemorning.com","over 400000 transgender people have","https://www.erininthemorning.com/p/over-400000-transgender-people-have"
"2026-01-08",1,2026,"gender identity","Over 400,000 Transgender People Have Moved States Since Trump's Election","erininthemorning.com","erininthemorning.com","over 400000 transgender people have","https://www.erininthemorning.com/p/over-400000-transgender-people-have"
"2026-01-08",1,2026,"biological sex","Journalists Should Not Use the Term “Assigned Sex at Birth” When Covering Transgender Issues","benryan.substack.com","benryan","journalists should not use the term","https://benryan.substack.com/p/journalists-should-not-use-the-term"
"2026-01-09",1,2026,"gender identity","Texas A&M Bans Philosophy Prof. From Teaching Plato Because of ""Gender Ideology""","erininthemorning.com","erininthemorning.com","texas a and m bans philosophy prof","https://www.erininthemorning.com/p/texas-a-and-m-bans-philosophy-prof"
"2026-01-11",1,2026,"transgender","Nutmeg's week: Stonewall, Mermaids, Bash Back - The Glinner Update","grahamlinehan.substack.com","grahamlinehan","nutmegs week stonewall mermaids bash","https://grahamlinehan.substack.com/p/nutmegs-week-stonewall-mermaids-bash"
